Title, Players Estimate ,Steam App ID
Team Fortress 2," 50,191,347 ",440
Counter-Strike: Global Offensive," 46,305,966 ",730
PLAYERUNKNOWN'S BATTLEGROUNDS," 36,604,134 ",578080
Unturned," 27,381,399 ",304930
Left 4 Dead 2," 23,143,723 ",550
PAYDAY 2," 18,643,807 ",218620
Garry's Mod," 18,576,379 ",4000
Warframe," 16,332,217 ",230410
Counter-Strike: Source," 15,001,876 ",240
Paladins," 14,371,946 ",444090
The Elder Scrolls V: Skyrim," 13,235,488 ",72850
Terraria," 13,132,545 ",105600
Portal 2," 13,062,700 ",620
Sid Meier's Civilization V," 12,701,498 ",8930
Grand Theft Auto V," 12,604,123 ",271590
Borderlands 2," 11,218,936 ",49520
Robocraft," 10,145,493 ",301520
Rocket League," 10,110,342 ",252950
Portal," 9,971,481 ",400
War Thunder," 9,536,732 ",236390
Rust," 9,147,240 ",252490
ARK: Survival Evolved," 9,103,947 ",346110
Half-Life 2," 8,877,286 ",220
Brawlhalla," 8,646,824 ",291550
Chivalry: Medieval Warfare," 8,260,157 ",219640
Trove," 7,700,319 ",304050
Path of Exile," 7,634,137 ",238960
Killing Floor," 7,395,545 ",1250
The Binding of Isaac," 7,172,818 ",113200
No More Room in Hell," 7,144,320 ",224260
Alien Swarm," 6,667,813 ",630
Warface," 6,656,284 ",291480
Fallout 4," 6,601,188 ",377160
Arma 3," 6,404,450 ",107410
Cities: Skylines," 6,132,366 ",255710
Insurgency," 6,007,744 ",222880
Euro Truck Simulator 2," 5,982,548 ",227300
APB Reloaded," 5,874,946 ",113400
Age of Empires II HD," 5,824,316 ",221380
Dirty Bomb," 5,760,753 ",333930
Dead by Daylight," 5,757,369 ",381210
SMITE," 5,751,466 ",386360
Castle Crashers," 5,555,066 ",204360
The Forest," 5,552,274 ",242760
Tomb Raider," 5,495,033 ",203160
The Witcher 3: Wild Hunt," 5,479,626 ",292030
Wallpaper Engine," 5,279,723 ",431960
Saints Row IV," 5,275,914 ",206420
Call of Duty: Modern Warfare 2," 5,267,226 ",10180
Spiral Knights," 5,226,655 ",99900
Loadout," 5,224,448 ",208090
Black Squad," 5,223,468 ",550650
